Entry	Entry Name	Gene Names	Protein names	Gene Ontology IDs
P37013	NORR_ECOLI	norR ygaA b2709 JW5843	Anaerobic nitric oxide reductase transcription regulator NorR	GO:0000160; GO:0000987; GO:0001216; GO:0003700; GO:0005524; GO:0008198; GO:0032993; GO:0042802; GO:0045893; GO:0070026; GO:2000144
P37019	CLCA_ECOLI	clcA eriC yadQ b0155 JW5012	H(+)/Cl(-) exchange transporter ClcA (ClC-ec1)	GO:0005247; GO:0005886; GO:0042802; GO:0062158; GO:1902476; GO:1902600; GO:1990451
P37025	THPR_ECOLI	thpR ligT yadP b0147 JW5011	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)	GO:0004113; GO:0008664
P37028	BTUF_ECOLI	btuF yadT b0158 JW0154	Vitamin B12-binding protein	GO:0015889; GO:0016020; GO:0030288; GO:0031419; GO:0042597; GO:1990191
P37051	PURU_ECOLI	purU tgs ychI b1232 JW1220	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	GO:0005829; GO:0006164; GO:0006189; GO:0006730; GO:0008864; GO:0034214; GO:0042802
P37095	PEPB_ECOLI	pepB yfhI b2523 JW2507	Peptidase B (EC 3.4.11.23) (Aminopeptidase B)	GO:0004177; GO:0005737; GO:0005829; GO:0006508; GO:0008233; GO:0030145; GO:0042802; GO:0043171; GO:0070006
P37128	NUDK_ECOLI	nudK yffH b2467 JW2451	GDP-mannose pyrophosphatase (EC 3.6.1.-) (GDP-mannose hydrolase) (GDPMK)	GO:0000287; GO:0005829; GO:0006753; GO:0019693; GO:0042803; GO:0052751
P37177	PT1P_ECOLI	ptsP ygdF ygdO b2829 JW2797	Phosphoenolpyruvate-dependent phosphotransferase system (EC 2.7.3.9) (Enzyme I-Ntr) (EINtr) (Phosphotransferase system, enzyme I)	GO:0005737; GO:0008965; GO:0009401; GO:0015764; GO:0016301; GO:0046872
P37188	PTKB_ECOLI	gatB b2093 JW2077	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)	GO:0005829; GO:0008982; GO:0009401; GO:0015796; GO:0019402; GO:0090584; GO:1902495
P37197	CCP_ECOLI	ccp yhjA b3518 JW3486	Cytochrome c peroxidase Ccp (EC 1.11.1.-) (Quinol peroxidase)	GO:0004130; GO:0005886; GO:0009055; GO:0019645; GO:0020037; GO:0042542; GO:0042743; GO:0046872
P37306	ALLK_ECOLI	allK arcC ybcF b0521 JW0510	Carbamate kinase (EC 2.7.2.2) (Catabolic carbamate kinase) (Catabolic CK)	GO:0000256; GO:0005524; GO:0005829; GO:0008804; GO:0019546
P37313	DPPF_ECOLI	dppF dppE b3540 JW3509	Dipeptide transport ATP-binding protein DppF (EC 7.4.2.9)	GO:0005524; GO:0005886; GO:0009314; GO:0015031; GO:0015232; GO:0016020; GO:0016887; GO:0022857; GO:0035351; GO:0042938; GO:0055052; GO:0071916
P37329	MODA_ECOLI	modA b0763 JW0746	Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA)	GO:0015412; GO:0015689; GO:0016020; GO:0030151; GO:0030288; GO:0030973; GO:0046687; GO:0055052; GO:0070614; GO:1901359
P37330	MASZ_ECOLI	glcB glc b2976 JW2943	Malate synthase G (MSG) (EC 2.3.3.9)	GO:0000287; GO:0004474; GO:0005829; GO:0006097; GO:0006099; GO:0009436
P37339	LHGD_ECOLI	lhgD lhgO ygaF b2660 JW2635	L-2-hydroxyglutarate dehydrogenase (L2HG dehydrogenase) (EC 1.1.5.13) (L2HG:quinone oxidoreductase)	GO:0005737; GO:0005886; GO:0006554; GO:0019477; GO:0047545; GO:0050660; GO:0140696
P37340	MDTK_ECOLI	mdtK norE norM ydhE b1663 JW1655	Multidrug resistance protein MdtK (Multidrug-efflux transporter)	GO:0005886; GO:0006814; GO:0006855; GO:0015031; GO:0015297; GO:0016020; GO:0034614; GO:0035442; GO:0042910; GO:0046677; GO:0071916; GO:1990961
P37344	PSPF_ECOLI	pspF ycjB b1303 JW1296	Psp operon transcriptional activator (Phage shock protein F)	GO:0000160; GO:0000987; GO:0001216; GO:0003677; GO:0005524; GO:0005667; GO:0005737; GO:0006355; GO:0032993; GO:0042802; GO:0043565; GO:0045892; GO:0045893; GO:0080135
P37349	DHAM_ECOLI	dhaM ycgC b1198 JW5185	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)	GO:0005829; GO:0006974; GO:0009401; GO:0016020; GO:0019563; GO:0042803; GO:0046835; GO:0047324; GO:1990234
P37351	RPIB_ECOLI	rpiB yjcA b4090 JW4051	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	GO:0004751; GO:0008786; GO:0009052; GO:0019316
P37595	IAAA_ECOLI	iaaA spt ybiK b0828 JW0812	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]	GO:0004067; GO:0008798; GO:0016540; GO:0016787
P37597	PUNC_ECOLI	punC ydhC b1660 JW1652	Purine nucleoside transporter (Adenosine efflux transporter)	GO:0005886; GO:0015211; GO:0015860; GO:0022857; GO:0042910; GO:1990961
P37610	TAUD_ECOLI	tauD ssiD yaiG b0368 JW0360	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17) (2-aminoethanesulfonate dioxygenase) (Sulfate starvation-induced protein 3) (SSI3)	GO:0000908; GO:0005737; GO:0006790; GO:0008198; GO:0019529; GO:0031418; GO:0042802; GO:0051289; GO:1990205
P37613	PANZ_ECOLI	panZ panM yhhK b3459 JW3424	PanD regulatory factor	GO:0015940; GO:0016485; GO:0016747; GO:0031638; GO:1905502
P37617	ZNTA_ECOLI	zntA yhhO b3469 JW3434	Zinc/cadmium/lead-transporting P-type ATPase (EC 7.2.2.-) (EC 7.2.2.12) (EC 7.2.2.21) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase)	GO:0005524; GO:0005886; GO:0006829; GO:0006882; GO:0008551; GO:0010043; GO:0010288; GO:0010312; GO:0015086; GO:0015094; GO:0015692; GO:0016020; GO:0016463; GO:0016887; GO:0030001; GO:0046686; GO:0046872; GO:0055085; GO:0070574; GO:0071577
P37624	RBBA_ECOLI	rbbA yhiG yhiH b3486 JW5676	Ribosome-associated ATPase (Ribosomal bound ATPase)	GO:0005524; GO:0005886; GO:0016887; GO:0043024; GO:0045727; GO:0140359
P37634	RLMJ_ECOLI	rlmJ yhiR b3499 JW3466	Ribosomal RNA large subunit methyltransferase J (EC 2.1.1.266) (23S rRNA (adenine(2030)-N6)-methyltransferase) (23S rRNA m6A2030 methyltransferase)	GO:0003723; GO:0005829; GO:0008988; GO:0015976; GO:0036307; GO:0070475
P37637	MDTF_ECOLI	mdtF yhiV b3514 JW3482	Multidrug resistance protein MdtF	GO:0005886; GO:0006855; GO:0009636; GO:0015125; GO:0015562; GO:0015721; GO:0016020; GO:0042802; GO:0042908; GO:0042910; GO:0046677
P37647	KDGK_ECOLI	kdgK yhjI b3526 JW5668	2-dehydro-3-deoxygluconokinase (EC 2.7.1.45) (2-keto-3-deoxygluconokinase) (3-deoxy-2-oxo-D-gluconate kinase) (KDG kinase)	GO:0005524; GO:0005829; GO:0006974; GO:0008673; GO:0019698; GO:0042840
P37653	BCSA_ECOLI	bcsA yhjO yhjP b3533 JW5665	Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)	GO:0005886; GO:0006011; GO:0016758; GO:0016760; GO:0030244; GO:0035438; GO:0090540
P37666	GHRB_ECOLI	ghrB tkrA yiaE b3553 JW5656	Glyoxylate/hydroxypyruvate reductase B (EC 1.1.1.79) (EC 1.1.1.81) (2-ketoaldonate reductase) (2-ketogluconate reductase) (2KR) (EC 1.1.1.215)	GO:0005829; GO:0005886; GO:0008465; GO:0008873; GO:0016618; GO:0019521; GO:0030267; GO:0046181; GO:0051287; GO:0120509
P37672	DLGD_ECOLI	dlgD yiaK b3575 JW3547	2,3-diketo-L-gulonate reductase (2,3-DKG reductase) (EC 1.1.1.130) (3-dehydro-L-gulonate 2-dehydrogenase)	GO:0005737; GO:0016616; GO:0047559; GO:0070403
P37677	LYXK_ECOLI	lyx lyxK sgbK xylK yiaP b3580 JW3552	L-xylulose/3-keto-L-gulonate kinase (L-xylulokinase) (EC 2.7.1.-) (EC 2.7.1.53) (3-dehydro-L-gulonate kinase)	GO:0005524; GO:0008744; GO:0016301; GO:0016773; GO:0019324; GO:0042803
P37685	ALDB_ECOLI	aldB yiaX b3588 JW3561	Aldehyde dehydrogenase B (EC 1.2.1.4) (Acetaldehyde dehydrogenase)	GO:0004029; GO:0006974; GO:0016491; GO:0045471; GO:0140088
P37689	GPMI_ECOLI	gpmI pgmI yibO b3612 JW3587	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	GO:0004619; GO:0005737; GO:0005829; GO:0005975; GO:0006007; GO:0006096; GO:0006979; GO:0030145
P37690	ENVC_ECOLI	envC yibP b3613 JW5646	Murein hydrolase activator EnvC (Septal ring factor)	GO:0000920; GO:0004222; GO:0005886; GO:0009273; GO:0009314; GO:0009410; GO:0016787; GO:0030288; GO:0032153; GO:0042597
P37744	RMLA1_ECOLI	rfbA rmlA rmlA1 b2039 JW2024	Glucose-1-phosphate thymidylyltransferase 1 (G1P-TT 1) (EC 2.7.7.24) (dTDP-glucose pyrophosphorylase 1) (dTDP-glucose synthase 1)	GO:0000271; GO:0005829; GO:0008879; GO:0009243; GO:0019305; GO:0042802; GO:0046872; GO:0051289
P37745	RMLC_ECOLI	rfbC rmlC b2038 JW2023	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase) (dTDP-4-keto-6-deoxyglucose 3,5-epimerase) (dTDP-6-deoxy-D-xylo-4-hexulose 3,5-epimerase) (dTDP-L-rhamnose synthase)	GO:0000271; GO:0005829; GO:0006974; GO:0008830; GO:0009103; GO:0009243; GO:0009411; GO:0019305; GO:0046677
P37747	GLF_ECOLI	glf yefE b2036 JW2021	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	GO:0005829; GO:0008767; GO:0009103; GO:0042803; GO:0050660
P37758	NARU_ECOLI	narU yddF b1469 JW1464	Nitrate/nitrite transporter NarU (Nitrite extrusion protein 2) (Nitrite facilitator 2)	GO:0005886; GO:0015112; GO:0015514; GO:0015706; GO:0015707; GO:0042128
P37769	KDUD_ECOLI	kduD ygeC yqeD b2842 JW2810	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)	GO:0008678; GO:0016616; GO:0019698; GO:0033764; GO:0042840; GO:0047001; GO:0051287; GO:0102635
P37773	MPL_ECOLI	mpl yjfG b4233 JW4192	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)	GO:0005524; GO:0005576; GO:0005737; GO:0008360; GO:0009252; GO:0009254; GO:0042802; GO:0051301; GO:0071555; GO:0097216; GO:0106418
P37774	TCYN_ECOLI	tcyN yecC b1917 JW1902	L-cystine transport system ATP-binding protein TcyN (EC 7.4.2.12)	GO:0005524; GO:0005886; GO:0015184; GO:0015424; GO:0015811; GO:0016887; GO:0042626; GO:0055052; GO:1903712
P37794	CHBG_ECOLI	chbG ydjC b1733 JW1722	Chitooligosaccharide deacetylase ChbG (COD) (EC 3.5.1.105) (Chitin disaccharide deacetylase) (Chitobiose deacetylase) (Chitobiose-6P deacetylase) (Chitotriose deacetylase) (Chitotriose-6P deacetylase)	GO:0000272; GO:0005737; GO:0006032; GO:0019213; GO:0036311; GO:0046872; GO:0052773; GO:0052777
P37902	GLTI_ECOLI	gltI ybeJ yzzK b0655 JW5092	Glutamate/aspartate import solute-binding protein	GO:0005576; GO:0006865; GO:0015813; GO:0016020; GO:0016595; GO:0030288; GO:0055052; GO:0070335; GO:0070778; GO:0098712; GO:0140009
P38036	CAS3_ECOLI	ygcB cas3 b2761 JW2731	CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-)	GO:0000014; GO:0000287; GO:0003690; GO:0003723; GO:0003724; GO:0005524; GO:0008296; GO:0033677; GO:0051607; GO:0097098
P38038	CYSJ_ECOLI	cysJ b2764 JW2734	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	GO:0000103; GO:0004783; GO:0005829; GO:0009337; GO:0010181; GO:0016491; GO:0019344; GO:0042602; GO:0050660; GO:0070401; GO:0070814
P38051	MENF_ECOLI	menF yfbA b2265 JW2260	Isochorismate synthase MenF (EC 5.4.4.2) (Isochorismate hydroxymutase) (Isochorismate mutase)	GO:0000287; GO:0008909; GO:0009234
P38054	CUSA_ECOLI	cusA ybdE b0575 JW0564	Cation efflux system protein CusA	GO:0005375; GO:0005507; GO:0005886; GO:0006878; GO:0009636; GO:0010272; GO:0010273; GO:0015080; GO:0015673; GO:0015679; GO:0016020; GO:0035434; GO:0042910; GO:0046688; GO:0060003; GO:1902601
P38097	DGCE_ECOLI	dgcE yegE b2067 JW2052	Probable diguanylate cyclase DgcE (DGC) (EC 2.7.7.65)	GO:0005525; GO:0005886; GO:0046872; GO:0052621; GO:1900231
P38135	FADK_ECOLI	fadK ydiD b1701 JW5910	Medium-chain fatty-acid--CoA ligase (EC 6.2.1.-) (Acyl-CoA synthetase) (ACS) (Fatty acyl-CoA synthetase FadK)	GO:0005524; GO:0005886; GO:0006635; GO:0019395; GO:0031956
P38393	KILR_ECOLI	kilR kil ydaD b1352 JW1347	Killing protein KilR (FtsZ inhibitor protein KilR) (Toxic protein KilR)	GO:0046677; GO:0051301; GO:0051782
P38489	NFSB_ECOLI	nfsB dprA nfnB nfsI ntr b0578 JW0567	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)	GO:0003955; GO:0004155; GO:0005829; GO:0010181; GO:0016020; GO:0016491; GO:0042802; GO:0042803; GO:0046256
P38506	XNI_ECOLI	ygdG exo xni b2798 JW5446	Flap endonuclease Xni (FEN) (EC 3.1.-.-) (Exonuclease IX) (ExoIX)	GO:0000287; GO:0003677; GO:0004534; GO:0017108; GO:0030955; GO:0033567
P39099	DEGQ_ECOLI	degQ hhoA b3234 JW3203	Periplasmic pH-dependent serine endoprotease DegQ (EC 3.4.21.107) (Protease Do)	GO:0004252; GO:0006508; GO:0006515; GO:0008233; GO:0042597; GO:0042802; GO:0051603
P39172	ZNUA_ECOLI	znuA yebL yzzP b1857 JW5831	High-affinity zinc uptake system protein ZnuA	GO:0006829; GO:0007155; GO:0008270; GO:0016020; GO:0042597; GO:0055052; GO:0071578
P39176	ERFK_ECOLI	erfK yeeG yzzT b1990 JW1968	Probable L,D-transpeptidase ErfK/SrfK (EC 2.-.-.-)	GO:0008360; GO:0016757; GO:0018104; GO:0042597; GO:0071555; GO:0071972
P39177	USPG_ECOLI	uspG ybdQ yzzU b0607 JW0600	Universal stress protein UP12 (Universal stress protein G)	GO:0004017; GO:0004672; GO:0005737; GO:0006950; GO:0042803; GO:0070733; GO:1902021
P39180	AG43_ECOLI	flu yeeQ yzzX b2000 JW1982	Antigen 43 (AG43) (Fluffing protein) [Cleaved into: Antigen 43 alpha chain; Antigen 43 beta chain]	GO:0005576; GO:0009279; GO:0009986; GO:0042597
P39276	DTPC_ECOLI	dtpC yjdL b4130 JW4091	Dipeptide and tripeptide permease C (Dipeptide/tripeptide:H(+) symporter DtpC)	GO:0005886; GO:0015031; GO:0015078; GO:0015333; GO:0035442; GO:0035443; GO:0042937; GO:0071916; GO:1902600
P39277	YJEH_ECOLI	yjeH b4141 JW4101	L-methionine/branched-chain amino acid exporter YjeH	GO:0000102; GO:0005294; GO:0005886; GO:0015297; GO:0015820; GO:0015821; GO:0071230; GO:1903714; GO:1903785
P39286	RSGA_ECOLI	rsgA engC yjeQ b4161 JW4122	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0019003; GO:0019843; GO:0042274; GO:0046872; GO:0097216
P39301	ULAA_ECOLI	ulaA sgaT yjfS b4193 JW5744	Ascorbate-specific PTS system EIIC component (Ascorbate-specific permease IIC component UlaA)	GO:0005886; GO:0009401; GO:0015882; GO:0016020; GO:0042802; GO:0090585; GO:1902495
P39304	ULAD_ECOLI	ulaD sgaH yjfV b4196 JW4154	3-keto-L-gulonate-6-phosphate decarboxylase UlaD (EC 4.1.1.85) (3-dehydro-L-gulonate-6-phosphate decarboxylase) (KGPDC) (L-ascorbate utilization protein D)	GO:0000287; GO:0004590; GO:0006207; GO:0019854; GO:0033982
P39315	QOR2_ECOLI	qorB qor2 ytfG b4211 JW4169	Quinone oxidoreductase 2 (EC 1.6.5.2)	GO:0005829; GO:0008753; GO:0016655; GO:0050136
P39321	TAMB_ECOLI	tamB ytfN ytfO b4221 JW4180	Translocation and assembly module subunit TamB (Autotransporter assembly factor TamB) (Intermembrane phospholipid transporter TamB) (Phospholipid transport protein TamB)	GO:0005886; GO:0009279; GO:0009306; GO:0089705; GO:0097347
P39344	IDNT_ECOLI	idnT gntW yjgT b4265 JW4222	Gnt-II system L-idonate transporter (L-Ido transporter) (L-idonate transporter) (5-keto-D-gluconate transporter) (L-idonate/5-ketogluconate/gluconate transporter)	GO:0005886; GO:0008643; GO:0015128; GO:0015568; GO:0015726; GO:0019521; GO:0035429; GO:0046183
P39353	NANY_ECOLI	nanY yjhC b4280 JW5769	2,7-anhydro-N-acetylneuraminate hydratase (EC 4.2.1.-) (EcNanOx)	GO:0000166; GO:0006974; GO:0016836; GO:0019262; GO:0042803
P39371	NANM_ECOLI	nanM yjhT b4310 JW5777	N-acetylneuraminate epimerase (EC 5.1.3.24) (N-acetylneuraminate anomerase NanM) (N-acetylneuraminate mutarotase) (Neu5Ac mutarotase) (Sialic acid epimerase)	GO:0016857; GO:0019262; GO:0030288; GO:0042803
P39377	IADA_ECOLI	iadA yjiF b4328 JW4291	Isoaspartyl dipeptidase (EC 3.4.19.-)	GO:0005737; GO:0005829; GO:0006508; GO:0008237; GO:0008270; GO:0008798; GO:0016810; GO:0042802
P39386	MDTM_ECOLI	mdtM yjiO b4337 JW4300	Multidrug resistance protein MdtM (Multidrug resistance transporter MdtM) (MDR transporter MdtM) (Multidrug transporter MdtM)	GO:0005886; GO:0015125; GO:0015385; GO:0015386; GO:0015721; GO:0030641; GO:0036376; GO:0046677; GO:0097623; GO:1990961
P39396	BTST_ECOLI	btsT yjiY b4354 JW5791	Pyruvate/proton symporter BtsT (Brenztraubensaure transporter) (Pyruvate/H(+) symporter)	GO:0005477; GO:0005886; GO:0006849; GO:0006974; GO:0009267; GO:0015293; GO:0031669
P39400	LGOD_ECOLI	lgoD yjjN b4358 JW5793	L-galactonate-5-dehydrogenase (EC 1.1.1.414)	GO:0005829; GO:0006566; GO:0008270; GO:0008743; GO:0016616; GO:0034195
P39405	FHUF_ECOLI	fhuF yjjS b4367 JW4331	Ferric siderophore reductase (Ferric iron reductase protein FhuF)	GO:0000293; GO:0005829; GO:0005886; GO:0016722; GO:0033214; GO:0033215; GO:0046872; GO:0051537
P39406	RSMC_ECOLI	rsmC yjjT b4371 JW4333	Ribosomal RNA small subunit methyltransferase C (EC 2.1.1.172) (16S rRNA m2G1207 methyltransferase) (rRNA (guanine-N(2)-)-methyltransferase RsmC)	GO:0003676; GO:0005737; GO:0005829; GO:0008990; GO:0031167; GO:0034337; GO:0052914; GO:0070475; GO:0140691
P39411	NCPP_ECOLI	yjjX b4394 JW5801	Inosine/xanthosine triphosphatase (ITPase/XTPase) (EC 3.6.1.73) (Non-canonical purine NTP phosphatase) (Non-standard purine NTP phosphatase) (Nucleoside-triphosphate phosphatase) (NTPase)	GO:0000166; GO:0000287; GO:0006772; GO:0009117; GO:0017111; GO:0042803; GO:0046677; GO:0103023
P39414	TTDT_ECOLI	ttdT ygjC ygjE b3063 JW3035	L-tartrate/succinate antiporter (Tartrate carrier) (Tartrate transporter)	GO:0005886; GO:0015516; GO:0015745
P39452	RIR3_ECOLI	nrdE b2675 JW2650	Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2)	GO:0004748; GO:0005524; GO:0005971; GO:0009185; GO:0009263; GO:0009265; GO:0015949
P39453	TORS_ECOLI	torS yccI b0993 JW5135	Sensor protein TorS (EC 2.7.13.3)	GO:0000155; GO:0000160; GO:0004721; GO:0005524; GO:0005886; GO:0009061; GO:0042802; GO:0042803
P39831	YDFG_ECOLI	ydfG b1539 JW1532	NADP-dependent 3-hydroxy acid dehydrogenase YdfG (L-allo-threonine dehydrogenase) (EC 1.1.1.381) (Malonic semialdehyde reductase) (EC 1.1.1.298)	GO:0005829; GO:0006212; GO:0008442; GO:0031132; GO:0032991; GO:0035527; GO:0042802; GO:0051289
P39838	RCSD_ECOLI	rcsD yojN yojP yojQ b2216 JW2204	Phosphotransferase RcsD (EC 2.7.2.-) (Phosphotransfer intermediate RcsD)	GO:0000155; GO:0000160; GO:0005524; GO:0005886; GO:0009927; GO:0016774
P40191	PDXK_ECOLI	pdxK yfeI b2418 JW2411	Pyridoxine/pyridoxal/pyridoxamine kinase (PN/PL/PM kinase) (EC 2.7.1.35) (B6-vitamer kinase) (Pyridoxal kinase 1) (PL kinase 1)	GO:0000287; GO:0005524; GO:0005829; GO:0008270; GO:0008478; GO:0008902; GO:0009443; GO:0030170; GO:0036172; GO:0042803
P40710	NLPE_ECOLI	nlpE cutF b0192 JW0188	Lipoprotein NlpE (Copper homeostasis protein CutF)	GO:0007155; GO:0009279; GO:0010810; GO:0036460; GO:0042802; GO:1990169
P40711	ARFB_ECOLI	arfB yaeJ b0191 JW0187	Peptidyl-tRNA hydrolase ArfB (PTH) (EC 3.1.1.29) (Alternative ribosome-rescue factor B)	GO:0003747; GO:0004045; GO:0005737; GO:0006417; GO:0043022; GO:0072344
P40874	MTOX_ECOLI	solA b1059 JW1046	N-methyl-L-tryptophan oxidase (MTOX) (EC 1.5.3.-)	GO:0005829; GO:0006974; GO:0008115; GO:0050131; GO:0050660
P41036	NANT_ECOLI	nanT b3224 JW3193	Sialic acid transporter NanT (Sialic acid permease) (Sialic acid/H(+) symporter)	GO:0005886; GO:0015538; GO:0015739; GO:0046942; GO:0046943
P41052	MLTB_ECOLI	mltB b2701 JW2671	Membrane-bound lytic murein transglycosylase B (EC 4.2.2.n1) (35 kDa soluble lytic transglycosylase) (Murein hydrolase B) (Slt35)	GO:0005509; GO:0008932; GO:0008933; GO:0009253; GO:0009279; GO:0030288; GO:0031402; GO:0071555
P41407	AZOR_ECOLI	azoR acpD b1412 JW1409	FMN-dependent NADH:quinone oxidoreductase (EC 1.6.5.-) (Azo-dye reductase) (FMN-dependent NADH-azo compound oxidoreductase) (FMN-dependent NADH-azoreductase) (EC 1.7.1.17)	GO:0005829; GO:0006979; GO:0009055; GO:0010181; GO:0016652; GO:0016655; GO:0042803; GO:0050446
P41409	RIHA_ECOLI	rihA ybeK b0651 JW0646	Pyrimidine-specific ribonucleoside hydrolase RihA (EC 3.2.-.-) (Cytidine/uridine-specific hydrolase)	GO:0005509; GO:0005829; GO:0006152; GO:0006206; GO:0008477; GO:0015949; GO:0032991; GO:0042802; GO:0045437; GO:0046133; GO:0050263; GO:0051289
P42588	PAT_ECOLI	patA ygjG b3073 JW5510	Putrescine aminotransferase (PAT) (PATase) (EC 2.6.1.82) (Cadaverine transaminase) (Diamine transaminase) (EC 2.6.1.29) (Putrescine transaminase) (Putrescine--2-oxoglutaric acid transaminase) (Putrescine:2-OG aminotransferase)	GO:0005829; GO:0009447; GO:0019161; GO:0019477; GO:0030170; GO:0033094; GO:0042802; GO:0042803
P42593	FADH_ECOLI	fadH ygjL b3081 JW3052	2,4-dienoyl-CoA reductase [(2E)-enoyl-CoA-producing] (DCR) (EC 1.3.1.34) (2,4-dienoyl-coenzyme A reductase [NADPH])	GO:0008670; GO:0010181; GO:0033543; GO:0046872; GO:0051539; GO:0071949
P42601	ALX_ECOLI	alx ygjT b3088 JW5515	Manganese exporter Alx	GO:0005886; GO:0071467
P42620	YQJG_ECOLI	yqjG b3102 JW3073	Glutathionyl-hydroquinone reductase YqjG (GS-HQR) (EC 1.8.5.7)	GO:0004364; GO:0005737; GO:0016672; GO:0042803
P42632	TDCE_ECOLI	tdcE yhaS b3114 JW5522	PFL-like enzyme TdcE (Keto-acid formate acetyltransferase) (Keto-acid formate-lyase) (Ketobutyrate formate-lyase) (KFL) (EC 2.3.1.-) (Pyruvate formate-lyase) (PFL) (EC 2.3.1.54)	GO:0005737; GO:0005829; GO:0005975; GO:0008861; GO:0016020; GO:0043875; GO:0070689
P42641	OBG_ECOLI	obgE cgtA obg yhbZ b3183 JW3150	GTPase ObgE/CgtA (EC 3.6.5.-) (GTP-binding protein Obg) (Large ribosomal subunit assembly factor ObgE)	GO:0000027; GO:0000287; GO:0003677; GO:0003924; GO:0005525; GO:0005829; GO:0007059; GO:0019003; GO:0019843; GO:0022611; GO:0032561; GO:0042255; GO:0043023; GO:0090071; GO:0097216
P43341	LPXH_ECOLI	lpxH ybbF b0524 JW0513	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase) (UDP-2,3-diacylglucosamine pyrophosphatase)	GO:0005737; GO:0008758; GO:0009245; GO:0019897; GO:0030145
P43671	PQIB_ECOLI	pqiB pqi5B b0951 JW0934	Intermembrane transport protein PqiB (Paraquat-inducible protein B)	GO:0005886; GO:0030288; GO:0042802; GO:0061024; GO:0120009
P43672	UUP_ECOLI	uup ycbH ycbI b0949 JW0932	ATP-binding protein Uup (EC 3.6.1.-)	GO:0003677; GO:0005524; GO:0005737; GO:0005886; GO:0006281; GO:0006301; GO:0009314; GO:0016887; GO:0043022
P45395	KDSD_ECOLI	kdsD yrbH b3197 JW3164	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	GO:0019146; GO:0019294; GO:0042802; GO:0046872; GO:0051289; GO:0097367
P45424	NANQ_ECOLI	nanQ yhcH b3221 JW3190	N-acetylneuraminate anomerase NanQ (N-acetylneuraminate openase)	GO:0005829; GO:0006974; GO:0008270; GO:0016857; GO:0019262
P45425	NANK_ECOLI	nanK yhcI b3222 JW5538	N-acetylmannosamine kinase (EC 2.7.1.60) (ManNAc kinase) (N-acetyl-D-mannosamine kinase)	GO:0005524; GO:0006974; GO:0008270; GO:0009384; GO:0019262
P45464	LPOA_ECOLI	lpoA yraM b3147 JW3116	Penicillin-binding protein activator LpoA (PBP activator LpoA) (Lipoprotein activator of PBP from the outer membrane A)	GO:0004553; GO:0008360; GO:0009252; GO:0009279; GO:0019899; GO:0030234; GO:0031241; GO:0042597
