# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Transcription Factor (TF) identifier assigned by RegulonDB
## (2) TF Name
## (3) TF Synonyms List
## (4) Gene Coding for the TF
## (5) Gene Bnumbers Coding for the TF
## (6) TF Active Conformations
## (7) TF Inactive Conformations
## (8) TF Active Conformations  Synonyms List
## (9) TF Inactive Conformations  Synonyms List
## (10) Effector Name related to  TF Active Conformations
## (11) Effector Name related to  TF Inactive Conformations
## (12) Effector Synonyms List related to TF Active Conformations TF 
## (13) Effector Synonyms List related to TF Inactive Conformations TF
## (14) TF Symmetry
## (15) Evidence that supports the TF conformation [Evidence code | Evidence type: C = Confirmed, S = Strong, W = Weak | Evidence name ]
## (16) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (17) confidenceLevel. Confidence level (Values: Confirmed, Strong, Weak)
## (18) TF conformation reference identifier (PMID)
1)tfId	2)tfName	3)tfSynonyms	4)geneCodingForTF	5)geneBnumberCodingForTF	6)tfActiveConformations	7)tfInactiveConformations	8)tfActiveConformationsSynonyms	9)tfInactiveConformationsSynonyms	10)tfActiveConformationsEffector	11)tfInactiveConformationsEffector	12)tfActiveConformationsEffectorSynonyms	13)tfInactiveConformationsEffectorSynonyms	14)symmetry	15)tfEvidences	16)additiveEvidences	17)confidenceLevel	18)tfConformationPMID 
RDBECOLITFC00142	NikR	YhhG|NikR	nikR	b3481	NikR	NikR-Ni			Ni<sup>2+</sup>	Ni<sup>2+</sup>	nickel(II)|Ni<sup>++</sup>|Ni<sup>II</sup>	nickel(II)|Ni<sup>++</sup>|Ni<sup>II</sup>		EXP-IDA-PURIFIED-PROTEIN:W		W	10787413 
RDBECOLITFC00143	Dan	Dan|TtdR|YgiP	ttdR	b3060	Dan-L-tartrate DNA-binding transcriptional activator				L-tartrate		weinsaeure|(+)-tartrate|tartrate|tartaric acid|(R,R)-tartrate|L-tartaric acid|L(+)-tartaric acid|(2R,3R)-tartaric acid|(2R,3R)-tartrate|L-tartarate|L-threarate			COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W|EXP-IDA:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	19661178|20156994 
RDBECOLITFC00144	MqsA	MqsA|YgiT|antitoxin of the MqsRA toxin-antitoxin system	mqsA	b3021	MqsA		MqsA|YgiT|antitoxin of the MqsRA toxin-antitoxin system						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	15556475|19690171|20105222|35853597 
RDBECOLITFC00145	EbgR	EbgR	ebgR	b3075	EbgR		EbgR						INVERTED-REPEAT	EXP:W		W	 
RDBECOLITFC00146	PtrR	YneJ|PtrR|LysR-type transcriptional regulator	ptrR	b1526	PtrR|DNA-binding transcriptional regulator PtrR-L-glutamine	PtrR-glt|PtrR-4-aminobutanoate	YneJ|PtrR|LysR-type transcriptional regulator		L-glutamine	L-glutamate|4-aminobutanoate	Q|proglumide|glum|glutamine|glumin|2-aminoglutaramic acid|glutamic acid 5-amide|L-gln	1-amino-propane-1,3-dicarboxylic acid|glutacid|glutaminic acid|L-glutamic acid|&alpha;-aminoglutaric acid|E|glt|glut|L-glu|2-aminopentanedioic acid|4-NH2-but|4-NH3-but|GABA|4-aminobutyric acid|&gamma;-aminobutyrate|4-amino-<i>n</i>-butyric acid|&gamma;-amino-n-butyric acid|gamma-amino-N-butyrate|g-amino-n-butyric acid|4-aminobutyrate	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475|24391520|35835781 
RDBECOLITFC00147	AccB	FabE|AccB|apo-[acetyl-CoA:carbon-dioxide ligase (ADP forming)]|BCCP	accB	b3255	AccB									EXP:W		W	14594796|10542197 
RDBECOLITFC00148	DhaR	YcgU|DhaR	dhaR	b1201	DhaR		YcgU|DhaR						INVERTED-REPEAT	EXP-IMP:W		W	15616579 
RDBECOLITFC00149	Cbl	Cbl	cbl	b1987	Cbl	Cbl-thiosulfate|Cbl-adenosine 5'-phosphosulfate	Cbl			thiosulfate|adenosine 5'-phosphosulfate		S<SUB>2</SUB>O<SUB>3</SUB>|S<SUB>2</SUB>O<SUB>3</SUB><SUP>-</SUP>|HS<SUB>2</SUB>O<SUB>3</SUB><SUP>-</SUP>|adenylyl-sulfate|adenosine phosphosulfate|adenosine 5'-sulphatophosphate|APS	INVERTED-REPEAT	EXP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP:W|EXP-IMP:W|EXP-IPI:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		S	17010379|11918818 
RDBECOLITFC00150	PurR	PurR	purR	b1658	DNA-binding transcriptional repressor PurR-hypoxanthine				hypoxanthine					COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	12598694|1729205|1971620|3058704|8106311 
RDBECOLITFC00151	RelB	RelB|Qin prophage, antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor RelB|Qin prophage, antitoxin RelB	relB	b1564	Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB		RelB|Qin prophage, antitoxin of the RelE-RelB toxin-antitoxin system and DNA binding transcriptional repressor RelB|Qin prophage, antitoxin RelB						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|COMP-AINF:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10501926|35853597|18501926 
RDBECOLITFC00152	DnaA	DnaA|chromosomal replication initiator protein/DNA-binding transcriptional dual regulator DnaA	dnaA	b3702	DnaA-ATP	DnaA-ADP			ATP	ADP	adenylpyrophosphate|adenosine-triphosphate|adenosine-5'-triphosphate	adenosine pyrophosphate|adenosine 5'-pyrophosphate|adenosine-5'-diphosphate|adenosine-diphosphate|adenosine-5-diphosphate		IDA-PURIFIED-PROTEIN-NH:S|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IPI:W|EXP-IEP:W		S	11160809|20487274|2540187|8825783|10581238 
RDBECOLITFC00153	RcsB-BglJ	RcsBgl	bglJ|rcsB	b4366|b2217	RcsB-BglJ		RcsBgl						ASYMMETRIC	IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IGI-FUNC-COMPLEMENTATION:S|EXP-IMP:W|EXP-IPI:W		S	20952573 
RDBECOLITFC00154	AcrR	YbaH|AcrR	acrR	b0464	AcrR|AcrR-3,6-diaminoacridine	AcrR-ethidium bromide|AcrR-spermidine|AcrR-cadaverine|AcrR-putrescine|AcrR-rhodamine 6G|AcrR-ethidium	YbaH|AcrR		3,6-diaminoacridine	ethidium bromide|spermidine|cadaverine|putrescine|rhodamine 6G|ethidium	proflavine|proflavin	<i>N</i>-(3-aminopropyl)butane-1,4-diamine|pentane-1,5-diamine|diaminopentane|1,5-diaminopentane|1,5-pentanediamine|pentamethylenediamine|1-BioDex|diaminobutane|1,4-diaminobutane|1,4-butanediamine|tetramethylenediamine|ethidium cation|homidium	INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W|EXP-IMP:W|EXP-IPI:W|EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA:[]|EV-EXP-IEP-BETA-GAL:[]		W	18607081|8821940|17644067|17950313|36416552 
RDBECOLITFC00155	YdfH	RspR|YdfH	rspR	b1540	YdfH		RspR|YdfH						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	10734204|15556475|22972332 
RDBECOLITFC00156	YdiP	YdiP	ydiP	b1696	YdiP		YdiP						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W		W	10734204|15556475|24391520 
RDBECOLITFC00157	YdeO	YdeO	ydeO	b1499	YdeO		YdeO						INVERTED-REPEAT	EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	12399493|12694615|15489450|20603130|25375160|9409145 
RDBECOLITFC00158	HigA	YgjM|HigA|HigA antitoxin of the HigB-HigA toxin-antitoxin system	higA	b3082	antitoxin/DNA-binding transcriptional repressor HigA		YgjM|HigA|HigA antitoxin of the HigB-HigA toxin-antitoxin system							EXP-IGI:W|EXP-IMP:W|COMP-HINF:W|IDA-PURIFIED-PROTEIN-NH:S		S	19943910|27601326 
RDBECOLITFC00159	UhpA	UhpA response regulator|UhpA	uhpA	b3669	UhpA-P<sup>asp</sup>									EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IEP:W|EXP-IPI:W		W	10512697|10966457|11976297|7596290|8999880 
RDBECOLITFC00160	FNR	OssA|NirR|NirA|OxrA|Fnr	fnr	b1334	DNA-binding transcriptional dual regulator FNR		OssA|NirR|NirA|OxrA|Fnr						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PART-PURIFIED-PROTEIN-NH:W		S	11771123|17293415|2677602|8119409|11407111|11931557|1854188|1957353|2181237|2248796|6292868|7747934|796407|8412675|8588737|8871401|9230919|9282732|9990723 
RDBECOLITFC00161	RelBE	RelBE|RelB-RelE	relB|relE	b1564|b1563	RelBE		RelBE|RelB-RelE						INVERTED-REPEAT	COMP-AINF:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	18501926 
RDBECOLITFC00162	AllS	AllS|YbbS|GlxA1	allS	b0504	AllS-allantoin DNA-binding transcriptional activator				allantoin					COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W		W	12460564 
RDBECOLITFC00163	MetR	MetR	metR	b3828	DNA-binding transcriptional dual regulator MetR		MetR							IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		S	1379743|2205852|2643109|2543976|2656646|8257110|7608086|8757744 
RDBECOLITFC00164	GadRcs	GadRcs|GadE-RcsB	rcsB|gadE	b2217|b3512	GadRcs		GadRcs|GadE-RcsB						ASYMMETRIC	IDA-PURIFIED-PROTEIN-NH:S		S	20189963 
RDBECOLITFC00165	FimZ	YbcA|FimZ	fimZ	b0535	FimZ		YbcA|FimZ						INVERTED-REPEAT	EXP-IMP:W|EXP-IEP:W		W	12618449|17222132|36057789 
RDBECOLITFC00166	MhpR	MhpR	mhpR	b0346	DNA-binding transcriptional activator MhpR-3-(3-hydroxyphenyl)propanoate				3-(3-hydroxyphenyl)propanoate		3-(3-hydroxyphenyl)propanoic acid|dihydro-3-coumarate|3-(3-hydroxyphenyl)propionic acid|m-hydroxyphenylpropionic acid|m-hydroxyphenylpropionate|MHP|3HPP|3-(3-hydroxyphenyl)propionate			EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		W	12748194|9098055 
RDBECOLITFC00167	FucR	FucR	fucR	b2805	FucR-L-fuculose-1-phosphate DNA-binding transcriptional activator				L-fuculose 1-phosphate		L-fuculose-1-P			EXP-IEP:W|COMP-HINF-FN-FROM-SEQ:W		W	3005235|8955387 
RDBECOLITFC00168	YefMB	YefMB|YefM-YoeB	yoeB|yefM	b4539|b2017	YefMB		YefMB|YefM-YoeB						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W		W	17170003 
RDBECOLITFC00169	CynR	CynR	cynR	b0338	CynR|CynR-cyanate DNA-binding transcriptional dual regulator		CynR		cyanate		cyanic acid|hydrogen cyanate		INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W		W	1592818|7961413|8253686 
RDBECOLITFC00170	CueR	YbbI|CueR|CopR	cueR	b0487	DNA-binding transcriptional dual regulator CueR-Cu<sup>+</sup>|CueR-Cu<SUP>+</SUP>	CueR-Cu			Cu<SUP>+</SUP>|CueR-Cu<sup>+</sup>	Cu<SUP>+</SUP>	copper(I)|cuprous ion|cuprous copper|Cu<sup>I</sup>	copper(I)|cuprous ion|cuprous copper|Cu<sup>I</sup>		EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IGI-FUNC-COMPLEMENTATION:S|COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W		S	10915804|12958362|14518983 
RDBECOLITFC00171	NagC	NagR|NagC|transcriptional repressor of nag (N-acetylglucosamine) operon	nagC	b0676	NagC	NagC-<i>N</i>-acetyl-D-glucosamine 6-phosphate	NagR|NagC|transcriptional repressor of nag (N-acetylglucosamine) operon			<i>N</i>-acetyl-D-glucosamine 6-phosphate		<i>N</i>-acetylglucosamine-6-P|GlcNAc-6-P|<i>N</i>-acetyl-D-glucosamine-6-P|<i>N</i>-acetyl-glucosamine 6-phosphate|<i>N</i>-acetyl-glucosamine-6-P	INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IMP:W		S	11139621|15066032|15534208|15743943|17238917|1848637|7545108|1766379|2190615|2668691 
RDBECOLITFC00172	DicA	FtsT|DicA	dicA	b1570	DicA		FtsT|DicA						INVERTED-REPEAT	IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IGI-FUNC-COMPLEMENTATION:S|COMP-HINF-FN-FROM-SEQ:W		S	23028867|3041373|3053647 
RDBECOLITFC00173	RcsAB	RcsAB	rcsB|rcsA	b2217|b1951	RcsAB		RcsAB						INVERTED-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IGI:W		W	10702265|12864862|16000739|1999391|9882673|1943696|2404948|8576059 
RDBECOLITFC00174	AtoC	AtoC|AtoC response regulator|AtoC transcriptional activator; Az protein inhibitor of ODC	atoC	b2220	AtoC-P									EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W		W	2883171|8346225 
RDBECOLITFC00175	AllR	YbbU|AllR	allR	b0506	AllR-allantoin	AllR-glyoxylate			allantoin	glyoxylate		glyoxalate|glyox|glyoxylic acid	INVERTED-REPEAT	EXP-IDA-UNPURIFIED-PROTEIN:W|EXP-IEP:W		W	12460564 
RDBECOLITFC00176	RpoN	NtrA|GlnF|RpoN|sigma N factor|sigma 54 factor|sigma N|&sigma;54|RNA polymerase, sigma 54 (sigma N) factor	rpoN	b3202	RpoN		NtrA|GlnF|RpoN|sigma N factor|sigma 54 factor|sigma N|&sigma;54|RNA polymerase, sigma 54 (sigma N) factor						INVERTED-REPEAT			None	26425847 
RDBECOLITFC00177	BtsR	BtsR|YehT	btsR	b2125	phosphorylated DNA-binding transcriptional dual regulator BtsR									COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IPI:W|COMP-HINF-ISA:W		S	22685278|31834370 
RDBECOLITFC00178	FliZ	YedH|FliZ	fliZ	b1921	FliZ		YedH|FliZ						INVERTED-REPEAT	EXP-IMP:W		W	18765794 
RDBECOLITFC00179	TdcR	TdcR|threonine dehydratase operon activator protein	tdcR	b3119	TdcR		TdcR|threonine dehydratase operon activator protein						INVERTED-REPEAT	EXP:W		W	2573820|2660107|7928991 
RDBECOLITFC00180	LeuO	LeuO	leuO	b0076	LeuO|DNA-binding transcriptional dual activator LeuO-(2<i>S</i>)-2-isopropylmalate		LeuO		(2<i>S</i>)-2-isopropylmalate		3-hydroxy-4-methyl-3-carboxypentanoate|3-carboxy-3-hydroxy-4-methylpentanoate|3-carboxy-3-hydroxy-isocaproate|&alpha;-isopropylmalate|2-isopropylmalic acid		INVERTED-REPEAT	EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP:W|EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA:[]|EXP-IPI:W		W	11121424|15582999|16207917|7836317|9422614|1630901|3413113|3519576|40670652 
RDBECOLITFC00181	CecR	CecR|YbiH	cecR	b0796	CecR		CecR|YbiH						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-UNPURIFIED-PROTEIN-NH:W|EXP-IEP:W|EXP-IPI:W		W	10734204|15556475|27112147|30137486|30578262 
RDBECOLITFC00182	RcdA	YbjK	rcdA	b0846	RcdA	RcdA-tris|RcdA-trimethylamine N-oxide	YbjK			tris|trimethylamine <i>N</i>-oxide		tris(hydroxymethyl)amino methane|tris hydrochloride|TMAO	INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IMP:W|EXP-IPI:W		W	15556475|23233451|34288132 
RDBECOLITFC00183	SlyA	SlyA	slyA	b1642	SlyA		SlyA						INVERTED-REPEAT	EXP:W		W	10027972|12057949|14996792|32849447 
RDBECOLITFC00184	YcjW	YcjW|putative LacI-type DNA-binding transcriptional regulator YcjW	ycjW	b1320	YcjW		YcjW|putative LacI-type DNA-binding transcriptional regulator YcjW						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA:W|EXP-IMP:W		W	10734204|15556475|24391520|31253770 
RDBECOLITFC00185	YciT	YciT|DeoT	yciT	b1284	YciT		YciT|DeoT						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W		W	10734204|15556475|16451192 
RDBECOLITFC00186	LsrR	YdeW|LsrR	lsrR	b1512	DNA-binding transcriptional repressor LsrR	LsrR-(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran|LsrR-(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate|LsrR-autoinducer 2	YdeW|LsrR			autoinducer 2|(2<i>S</i>)-2-hydroxy-3,4-dioxopentyl phosphate|(4<i>S</i>)-4,5-dihydroxypentane-2,3-dione		(<i>R</i>)-THMF|AI-2|(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran|(4S)-4-hydroxy-2,3-pentanedione 5-phosphate|(4S)-4-hydroxy-5-phosphooxypentane-2,3-dione|autoinducer 2|(4<i>S</i>)-4,5-dihydroxy-2,3-pentanedione	INVERTED-REPEAT	EXP-IEP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IPI:W		W	15743955|19636340|23589368 
RDBECOLITFC00187	NrdR	YbaD|NrdR	nrdR	b0413	NrdR-Zn<sup>2+</sup>ATP-dATP DNA transcriptional repressor				Zn<SUP>2+</SUP>		zinc(II)|Zn(II) (incorrect)|Zn<sup>II</sup>			COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IMP:W		S	17496099 
RDBECOLITFC00188	OxyR	Mor|MomR|OxyR|bifunctional regulatory protein sensor for oxidative stress	oxyR	b3961	OxyR		Mor|MomR|OxyR|bifunctional regulatory protein sensor for oxidative stress						INVERTED-REPEAT	IDA-PURIFIED-PROTEIN-NH:S		S	22539721|8483417|1864839|2167922|2471187|2511419|2551682|8265357 
RDBECOLITFC00189	ModE	ModR|ChlD|ModE-MoO<sub>4</sub><sup>2-</sup>|ModE	modE	b0761	DNA-binding transcriptional dual regulator ModE-molybdate				molybdate		MoO<sub>4</sub><sup>2-</sup>|molybdate ion|MoO<sub>4</sub><sup>-2</sup>			EXP-IDA-UNPURIFIED-PROTEIN-NH:W|COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S		S	13129959|14641908|9044285|9466267|9721306 
RDBECOLITFC00190	Fis	Nbp|site-specific DNA inversion stimulation factor|Fis	fis	b3261	DNA-binding transcriptional dual regulator Fis		Nbp|site-specific DNA inversion stimulation factor|Fis						INVERTED-REPEAT	EXP-IDA:W|EXP-IEP:W|EXP-IPI:W		W	1547773|27718375|7545153|1484481 
RDBECOLITFC00191	PutA	PutC|PoaA|PutA|proline utilization A	putA	b1014	PutA		PutC|PoaA|PutA|proline utilization A						ASYMMETRIC			None	11294639 
RDBECOLITFC00192	BolA	BolA	bolA	b0435	BolA-phosphate								INVERTED-REPEAT	EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IPI:W		W	32535996 
RDBECOLITFC00193	UlaR	UlaR|YjfQ	ulaR	b4191	UlaR	UlaR-L-ascorbate-6-phosphate	UlaR|YjfQ			L-ascorbate 6-phosphate			INVERTED-REPEAT	EXP-IEP:W|EXP-IPI:W		W	12374842|18844374 
RDBECOLITFC00194	SdiA	SdiA	sdiA	b1916	SdiA		SdiA						INVERTED-REPEAT	EXP:W		W	 
RDBECOLITFC00195	MelR	MelR	melR	b4118	MelR|DNA-binding transcriptional activator MelR-melibiose		MelR		melibiose		6-O-(&alpha;-D-galactopyranosyl)-D-glucopyranose|D-Gal-&alpha;(1->6)-D-glucose|D-melibiose|6-O-&alpha;-D-galactopyranosyl-D-glucose|6-(&alpha;-D-galactosido)-D-glucose|&alpha;-D-Galp-(1->6)-D-Glc		ASYMMETRIC	EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	1445207|2684786|2830169|8010957|10747919|10760179|16621812|18346968 
RDBECOLITFC00196	GatR	GatR	gatR	b4498	GatR		GatR						INVERTED-REPEAT			None	1661252|7772602 
RDBECOLITFC00197	AgaR	YhaW|AgaR	agaR	b3131	AgaR		YhaW|AgaR						DIRECT-REPEAT	EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W		W	14731281 
RDBECOLITFC00198	Zur	ZnuR|YjbK|Zur	zur	b4046	Zur-Zn<sup>2+</sup> DNA-binding transcriptional repressor				Zn<SUP>2+</SUP>		zinc(II)|Zn(II) (incorrect)|Zn<sup>II</sup>			COMP-AINF-FN-FROM-SEQ:W|EXP-IPI:W|EXP-IEP:W		W	10816566|11523983|9680209 
RDBECOLITFC00199	YjjQ	YjjQ	yjjQ	b4365	YjjQ		YjjQ						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W|EXP-IDA:W|EXP-IEP:W		W	15556475|17846588|26078445 
RDBECOLITFC00200	GutM	GutM|SrlM|Gut	gutM	b2706	GutM		GutM|SrlM|Gut						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IEP:W		W	3062173 
RDBECOLITFC00201	Ada	Ada	ada	b2213	Ada		Ada						INVERTED-REPEAT	EXP-IMP:W|IDA-PURIFIED-PROTEIN-NH:S		S	11284682|15305584|15305585|16452614|1995192|2002008|2536670|282622|2982792|2987251|29941584|3047400|3141384|3343221|3526284|3529081|3889845|7896807|7937881|8195077|8676855|8720133|8752326|8755711|9383376|9618477 
RDBECOLITFC00202	McbR	YncC|McbR	mcbR	b1450	McbR		YncC|McbR						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IDA-UNPURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IDA-PART-PURIFIED-PROTEIN-HH:W		W	15556475|18309357|20713450 
RDBECOLITFC00203	AaeR	YhcS|AaeR|QseA|quorum sensing transcriptional regulator of LYSR-type|LysR-type transcriptional regulator AaeR	aaeR	b3243	AaeR		YhcS|AaeR|QseA|quorum sensing transcriptional regulator of LYSR-type|LysR-type transcriptional regulator AaeR						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|COMP-HINF:W|EXP-IMP:W		W	10734204|12011002|15489430|15556475 
RDBECOLITFC00204	YidZ	YidZ|LysR-type transcriptional regulator YidZ	yidZ	b3711	YidZ		YidZ|LysR-type transcriptional regulator YidZ						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IMP:W		W	10734204|15546870|15556475 
RDBECOLITFC00205	ArsR	ArsE|ArsR	arsR	b3501	DNA-binding transcriptional repressor ArsR	ArsR-antimonite|ArsR-arsenite	ArsE|ArsR			antimonite|arsenite		arsenite<sup>1-</sup>|iAs<sup>III</sup>		COMP-HINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W|EXP-IMP:W|EXP-IPI:W		S	12829264|8051064|8576202|8764681|8621591 
RDBECOLITFC00206	NadR	NadI|NadR	nadR	b4390	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR		NadI|NadR						INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W		W	12446641|4349027 
RDBECOLITFC00207	HypT	HypT|QseD|YjiE	hypT	b4327	HypT-[Met-oxidized] DNA-binding transcriptional dual regulator									IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IMP:W		S	22223481|23690622 
RDBECOLITFC00208	UxuR	UxuR	uxuR	b4324	UxuR	UxuR-&alpha;-D-galacturonate,&alpha;-D-glucuronate|UxuR-D-fructuronate	UxuR			&alpha;-D-glucuronate|&alpha;-D-galacturonate|D-fructuronate		&alpha;-D-glucuronic acid|&alpha;-D-glucopyranuronic acid|&alpha;-D-galacturonic acid	INVERTED-REPEAT	EXP-IEP:W|EXP-IMP:W		W	2823062|3083215|3079718|6281232 
RDBECOLITFC00209	BetI	BetI	betI	b0313	BetI	BetI-choline	BetI			choline		(2-hydroxyethyl)trimethylammonium	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP-IDA-BINDING-OF-PURIFIED-PROTEINS:S|EXP-IEP-GENE-EXPRESSION-ANALYSIS:W		S	1956285|8626295 
RDBECOLITFC00210	CreB	CreB|YjjE|CreB response regulator	creB	b4398	DNA-binding transcriptional regulator CreB-phosphorylated									COMP-AINF-FN-FROM-SEQ:W|EXP-IEP:W|EXP-IDA-PURIFIED-PROTEIN:W		W	11350954|18375564 
RDBECOLITFC00211	MarR	SoxQ|InaR|CfxB|MarR	marR	b1530	DNA-binding transcriptional repressor MarR	MarR-salicylate	SoxQ|InaR|CfxB|MarR			salicylate		salicylic acid|o-hydroxybenzoic acid|2-hydroxybenzoic acid|SA|2-HBA|2-hydroxybenzoate|o-hydroxybenzoate		EXP-IDA-PURIFIED-PROTEIN:W		W	8282690|8383113|8521301|11751765|7768850|7777530 
RDBECOLITFC00212	RstA	UrpT|RstA|RstA response regulator	rstA	b1608	DNA-binding transcriptional regulator RstA-phosphorylated									EXP-IMP:W		W	12618449|12813061 
